002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.9 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.7 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.7 |  | 0
002 | 주먹밥 | 002 | 주먹밥 | 6 | 9,100 | 3.5 |  | 0
003 | 김밥 | 002 | 주먹밥 | 6 | 9,100 | 3.5 |  | 0
004 | 샌드위치류 | 002 | 주먹밥 | 6 | 9,100 | 3.5 |  | 1
010 | 제조음료 | 002 | 주먹밥 | 6 | 9,100 | 3.5 |  | -92
012 | 빵 | 002 | 주먹밥 | 6 | 9,100 | 3.5 |  | 0
014 | 디저트 | 002 | 주먹밥 | 6 | 9,100 | 3.5 |  | -1
015 | 비스켓/쿠키 | 002 | 주먹밥 | 6 | 9,100 | 3.5 |  | 3
016 | 스낵류 | 002 | 주먹밥 | 6 | 9,100 | 3.5 |  | 11
019 | 초콜릿 | 002 | 주먹밥 | 6 | 9,100 | 3.5 |  | 4
001 | 도시락 | 001 | 도시락 | 1 | 5,400 | 1.9 |  | 0
002 | 주먹밥 | 001 | 도시락 | 1 | 5,400 | 1.9 |  | 0
003 | 김밥 | 001 | 도시락 | 1 | 5,400 | 1.9 |  | 0
001 | 도시락 | 001 | 도시락 | 1 | 5,400 | 1.9 |  | 0
002 | 주먹밥 | 001 | 도시락 | 1 | 5,400 | 1.9 |  | 0
003 | 김밥 | 001 | 도시락 | 1 | 5,400 | 1.9 |  | 0
001 | 도시락 | 001 | 도시락 | 2 | 11,300 | 2.6 |  | 0
002 | 주먹밥 | 001 | 도시락 | 2 | 11,300 | 2.6 |  | 0
003 | 김밥 | 001 | 도시락 | 2 | 11,300 | 2.6 |  | 0
001 | 도시락 | 8800271902797 | 도)쟌슨빌스페셜정식1 | 1 |  |  |  | 0
002 | 주먹밥 | 8800279676904 | 주)3XL맛초킹치킨삼각1 | 1 |  |  |  | 0
003 | 김밥 | 8800279676867 | 김)맛초킹치킨김밥1 | 1 | 1 |  |  | 0
004 | 샌드위치류 | 8800279672975 | 샌)뉴뚱실사라다샌드1 | 1 |  |  |  | 1
010 | 제조음료 | 2202000107644 | 25뉴get아이스아메XL | 1 |  |  |  | -92
